station,pH,DO,cond,temp,alk,hard,ZN,spp.rich,spp.div,prop.Achnanthes
ERI,8.5,8.4,180,11,119,122,2,35.3,2.27,0.37
ER2,8,8,145,14,52,84,407,21.7,1.25,0.48
ER3,8,8,150,15,54,86,336,20.7,1.15,0.35
ER4,8.8,7.8,240,18,77,126,104,16.7,1.62,0.02
FC1,7.8,8.6,55,9,30,42,7,19,1.7,0.17
FC2,7.4,8.8,130,8,41,84,1735,5.7,0.63,0.76
BRI,7.5,8.2,75,11,43,50,3,26,2.05,0.44
BR2,8.1,8.1,85,12,52,60,9,27.3,1.98,0.43
BR3,7.9,8.3,100,12,42,66,691,14.3,1.04,0.6
BR4,7.3,8.3,105,11,52,64,72,22,2.19,0.22
BR5,7.8,8.4,100,9,51,64,56,21.3,2.1,0.17
DC1,7.5,7.6,65,10,10,10,13,34,2.2,0.43
PCI,7.3,8.1,70,8,17,48,72,23.7,2.06,0.36
SRI,6.7,7.5,100,11,11,52,364,28.7,1.9,0.44
SR2,6.8,7.6,90,14,16,48,399,29.3,1.88,0.53
SR3,6.8,7.3,90,16,18,48,276,10.7,0.85,0.61
EFI,7.8,7.4,90,12,32,48,39,14,1.4,0.36
EF5,8.4,8.8,170,8,70,108,28,26.3,2.18,0.35
ARI,8.2,7.6,155,13,64,94,24,23,1.83,0.51
AR2,8,7.6,150,15,67,92,26,26.3,1.88,0.5
AR3,7.9,7.6,170,15,69,100,181,27,2.02,0.46
AR5,8.8,8.2,170,17,65,98,79,22.7,1.94,0.13
AR8,7.8,7.3,100,18,34,44,27,27,2.1,0.33
CC1,8.2,8,55,8,23,32,31,38,2.38,0.31
CC2,7.3,7.8,75,10,23,40,452,22,1.43,0.64
CC3,7.3,7.6,75,11,28,36,224,23.3,1.37,0.68
CC4,7.4,7.6,80,15,31,42,76,25,1.75,0.44
CC5,7.9,6.8,140,21,50,52,26,42,2.83,0.21
MCI,7.8,7.6,40,11,17,18,2,20.7,1.53,0.57
MC2,7.9,7.3,75,14,35,40,12,7,0.76,0.41
MC3,8.3,7.2,155,16,69,96,168,7.7,0.8,0.12
SPRI,8.5,7.5,130,15,64,80,24,18.7,1.66,0.12
SPR2,8.7,7.3,150,16,62,86,52,11.3,0.98,0.15
SPR3,8.2,6.8,210,20,89,110,10,24,1.89,0.1
